/*********************************************
 * OPL  Data
 * Author: Mohamed ouzineb
 * Creation Date: 24 november 2022 at 10:42:35
 *********************************************/
d=[[0,0300,1100,1200,3300,3000,3900,2300,1800],
   [0300,0,1500,2200,3700,3400,4400,3400,2800],
   [1100,1500,0,1700,2500,2200,3200,3100,2700],
   [1200,2200,1700,0,3000,2700,3300,1400,1000],
   [3300,3700,2500,3000,0,0350,1500,3800,4000],
   [3000,3400,2200,2700,0350,0,1200,3700,3700],
   [3900,4400,3200,3300,1500,1200,0,4100,4900],
   [2300,3400,3100,1400,3800,3700,4100,0,0800],
   [1800,2800,2700,1000,4000,3700,4900,0800,0],
];
